id,user_id,order_date,status
1,42,2026-01-02,completed
2,62,2026-01-03,placed
3,97,2026-01-06,completed
4,22,2026-01-07,completed
5,77,2026-01-13,completed
6,87,2026-01-13,returned
7,11,2026-01-14,completed
8,21,2026-01-14,shipped
9,66,2026-01-16,return_pending
10,2,2026-01-17,returned
11,82,2026-01-18,returned
12,52,2026-01-24,returned
13,80,2026-01-24,completed
14,77,2026-01-27,shipped
15,93,2026-01-29,completed
16,80,2026-01-30,completed
17,58,2026-01-31,returned
18,66,2026-02-03,returned
19,91,2026-02-08,returned
20,68,2026-02-09,completed
21,84,2026-02-10,return_pending
22,86,2026-02-10,returned
23,83,2026-02-14,completed
24,28,2026-02-16,shipped
25,6,2026-02-17,return_pending
26,47,2026-02-22,placed
27,85,2026-02-22,placed
28,98,2026-02-24,returned
29,62,2026-02-25,completed
30,61,2026-02-27,placed
31,95,2026-02-27,placed
32,90,2026-03-07,returned
33,60,2026-03-09,completed
34,3,2026-03-16,shipped
35,100,2026-03-19,shipped
36,62,2026-03-20,shipped
37,20,2026-03-22,completed
38,74,2026-03-24,shipped
39,69,2026-04-02,returned
40,74,2026-04-03,placed
41,82,2026-04-03,return_pending
42,31,2026-04-05,placed
43,76,2026-04-07,completed
44,22,2026-04-10,placed
45,76,2026-04-10,completed
46,26,2026-04-11,shipped
47,29,2026-04-12,completed
48,83,2026-04-13,completed
49,83,2026-04-18,placed
50,99,2026-04-21,returned
51,73,2026-04-22,placed
52,87,2026-04-23,completed
53,80,2026-04-24,placed
54,26,2026-04-27,returned
55,16,2026-04-28,completed
56,57,2026-05-01,return_pending
57,92,2026-05-03,completed
58,61,2026-05-05,placed
59,92,2026-05-07,placed
60,15,2026-05-09,completed
61,82,2026-05-13,return_pending
62,95,2026-05-14,completed
63,73,2026-05-16,placed
64,97,2026-05-19,completed
65,17,2026-05-21,completed
66,65,2026-05-21,placed
67,56,2026-05-26,return_pending
68,19,2026-05-28,completed
69,60,2026-06-01,completed
70,96,2026-06-03,completed
71,55,2026-06-05,return_pending
72,26,2026-06-10,completed
73,32,2026-06-10,shipped
74,43,2026-06-13,return_pending
75,53,2026-06-14,shipped
76,29,2026-06-17,return_pending
77,81,2026-06-17,completed
78,99,2026-06-27,return_pending
79,2,2026-06-28,return_pending
80,53,2026-06-28,completed
81,93,2026-06-29,completed
82,71,2026-06-30,shipped
83,39,2026-07-03,returned
84,64,2026-07-03,returned
85,88,2026-07-04,shipped
86,95,2026-07-05,completed
87,33,2026-07-10,placed
88,15,2026-07-20,placed
89,3,2026-07-21,return_pending
90,92,2026-07-21,return_pending
91,90,2026-07-23,return_pending
92,71,2026-07-27,completed
93,99,2026-07-27,completed
